product_title,positive_rate
"Le Monde Gourmand Lait de Coco Perfume Oil - 1 fl oz (30ml) - Fresh, Creamy, Clean with Vanilla and Coconut Fragrance Notes",0.6767676767676768
"Lifewit 4 Tier Clear Display Risers Stand, 12 Inch Plastic Risers for Display, Plastic Organizers for Figures, Cupcake, Perfume, Dessert, Desktop Display Stand for Organize and Decoration, 1pack",0.7959183673469388
"Lifewit Plastic 12 Inch Dark Cologne Stand, Step Perfume Organizer,Versatile Display Stand Shelf for Fragrance, Skincare, Figurine, Dessert, Use for Vanity, Tabletop, Cabinet,1 Set",0.7708333333333334
Loewe Esencia De for Men - 3.4 oz EDT Spray,1.0
"Long Lasting Pheromones Perfumes for Women – Enhanced Scents Pheromone Perfume for Her – Oil Roll-On Perfume– Subtle, Alluring Cologne for Women(Pack of 2)",0.5238095238095238
"Love Struck Eau De Parfum Spray for Women by Vera Wang, 3.4 Ounce",0.87
"MARC JACOBS Daisy Love Eau de Toilette Spray, 1.7-oz.",0.797979797979798
MOBETTER FRAGRANCE OILS Powder Fresh Scent Perfume Fragrance Body Oil Unisex,0.83
MUB 10ml Perfume Travel Refillable Atomizer Bottle Portable Glass Top-Filling Leak-Proof Spray Bottle Atomizer Sprayer for Perfume Mini Pocket Empty Cologne for Travel Outgoing,0.6829268292682927
"MUB Perfume Refill Pump Tools, Perfume Dispenser with Adapter Tools for Perfumes Transfer to empty bottles, Include 2 Syringe for Replacement",0.35
Maison Louis Marie - No.04 Bois de Balincourt Natural Roll-On Perfume Oil Sample | Luxury Clean Beauty + Non-Toxic Fragrance (0.1 fl oz | 3 ml),0.77
"Malin + Goetz Deodorant - Men & Women's Stick Deodorant, Scented Deodorant for All Skin Types, Natural Fragrance & Color, Aluminum Free Natural Deodorant",0.52
"Manual long base desktop perfume bottle capper and capping tool machine, perfume sprayer sealer tool for 13-15MM（long base WN011）",0.4
"Marc Jacobs Perfect Eau de Parfum for Women Mini Splash, 0.16 Ounce",0.7216494845360825
Marc Jacobs Perfect Women 3.3 oz EDP Spray,0.8367346938775511
Moroccanoil Shower Gel Body Wash,0.75
"Mugler Alien - Eau de Parfum - Women's Perfume - Floral & Woody - With Jasmine, Wood, and Amber - Long Lasting Fragrance",0.77
"Mugler Alien Goddess - Eau de Parfum - Women's Perfume - Floral & Woody - With Bergamot, Jasmine, and Vanilla - Long Lasting Fragrance",0.73
N5 Chanel Timeless Fragrance,0.5333333333333333
"Narciso Rodriguez BPI-007 For Her EDP Spray,3.3 Fl Oz (Pack of 1)",0.7878787878787878
Natural Moisturizes Whole Body Deodorant -Women & Men's Deodorant 48H Protection Aluminum-Free Vegan Deodorant No Stain Formula Organic Deodorant 2.65 0z (Coconut and Vanilla),0.8611111111111112
"Nemat Amber Perfume Oil, 10 ML",0.78
"No Nothing Sensitive Moisture Treatment - Perfume-free, Moisturising Intensive Treatment - For Dry and Damaged Hair | 100% Vegan | 150 ml (New Packaging)",0.5660377358490566
